id,name,attributes
/4/@nodes.2/@nodes.0, constant ,[]
44, Object ,[]
45, String ,[]
46, Integer ,[]
47, Number ,[]
49, System ,[ out; err; in;]
50, Exception ,[]
51, Throwable ,[]
52, ClassNotFoundException ,[]
53, ReflectiveOperationException ,[]
54, StringBuffer ,[]
55, AbstractStringBuilder ,[]
56, Boolean ,[]
57, NullPointerException ,[]
58, RuntimeException ,[]
59, StringBuilder ,[]
60, Long ,[ MAX_VALUE;]
61, NumberFormatException ,[]
62, IllegalArgumentException ,[]
63, IndexOutOfBoundsException ,[]

